Refrigerant,Molecular weight,Predicted crit temp /K,Acentric factor,No. of C,No. of F,No. of C=C,Temp /K,Liquid spec vol /[m^3/mol],Vapour spec vol /[m^3/mol],Vapour pressure /Pa,Dipole moment,Polarisability,Predicted crit pressure /Pa
R 1123,82.02,346.7339612,0.238,2,3,1,180.6907827,5.69E-05,0.161590496,9262.117863,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,182.4947172,5.71E-05,0.141701903,10662.64655,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,184.2879731,5.73E-05,0.124739493,12225.50404,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,186.0706135,5.75E-05,0.110212562,13963.23839,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,187.8427013,5.77E-05,0.097721696,15888.76547,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,189.604299,5.79E-05,0.086940255,18015.3389,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,191.3554686,5.81E-05,0.077599906,20356.51877,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,193.0962719,5.83E-05,0.069479249,22926.13951,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,194.8267703,5.85E-05,0.062394845,25738.27699,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,196.5470247,5.87E-05,0.056194084,28807.21535,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,198.2570958,5.89E-05,0.05074951,32147.41358,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,199.957044,5.91E-05,0.045954268,35773.47223,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,201.646929,5.93E-05,0.041718449,39700.1003,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,203.3268105,5.95E-05,0.037966133,43942.08273,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,204.9967477,5.97E-05,0.034632996,48514.24839,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,206.6567994,5.99E-05,0.031664355,53431.43896,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,208.3070242,6.01E-05,0.029013576,58708.47867,1.635,20.369,5253881.331
